location_head,country_canonical
0,France
04249 Leipzig-Knautnaundorf,Germany
04509 Wiedemar,Germany
06258 Schkopau,Germany
06780 Zörbig,Germany
10409 Berlin-Prenzlauer Berg,Germany
12359 Berlin,Germany
12459  Berlin-Rummelsburg,Germany
14669 Ketzin,Germany
15236 Frankfurt (Oder),Germany
15366 Hoppegarten,Germany
16225 Eberswalde,Germany
16321 Bernau bei Berlin,Germany
18439 Stralsund,Germany
19061 Schwerin,Germany
19370 Parchim,Germany
21079 Hamburg,Germany
21272 Egestorf,Germany
21337 Lüneburg,Germany
21438 Brackel,Germany
21465 Reinbek,Germany
22117 Billstedt/ Hamburg,Germany
22159 Farmsen/ Hamburg,Germany
22529 Eppendorf/Hamburg,Germany
22848 Norderstedt,Germany
22926 Ahrensburg,Germany
23558 Lübeck,Germany
23611 Bad Schwartau,Germany
23758 Oldenburg,Germany
23858 Reinfeld,Germany
24211  Preetz,Germany
24536  Neumünster-Nord,Germany
24539  Neumünster-Süd,Germany
24837 Schleswig,Germany
25462 Rellingen,Germany
25746 Heide,Germany
25813 Husum,Germany
26,France
27751 Delmenhorst,Germany
28199 Bremen,Germany
28201 Bremen,Germany
28207 Bremen,Germany
28717 Bremen,Germany
28755 Bremen,Germany
28757 Bremen,Germany
28857  Syke,Germany
29683 Dorfmark,Germany
2L Rhône-Alpes,France
30177 Hannover,Germany
31135 Hildesheim,Germany
32429 Minden,Germany
34123 Kassel,Germany
35325 Muecke,Germany
37081 Göttingen,Germany
38114 Braunschweig Nord,Germany
38126 Braunschweig,Germany
38644 Goslar,Germany
39112 Magdeburg,Germany
41239 Mönchengladbach,Germany
41460 Neuss,Germany
42699 Solingen,Germany
44145 Dortmund,Germany
44894 Bochum,Germany
45327 Essen CAT Essen,Germany
45525 Hattingen,Germany
47229 Duisburg,Germany
48432 Rheine,Germany
49453 Rehden,Germany
53909 Zülpich,Germany
56070 Koblenz,Germany
60,France
61137 Schöneck-Kilianstädten,Germany
64349 Pfungstadt,Germany
64560 Riedstadt-Goddelau,Germany
66802 Überherrn,Germany
75179 Pforzheim,Germany
75428 Illingen,Germany
77971 Kippenheim,Germany
78727 Oberndorf-Bochingen,Germany
83512 Wasserburg am Inn,Germany
85283 Wolnzach,Germany
85462 Eitting-Gaden,Germany
89290 Buch,Germany
89520 Heidenheim,Germany
95,France
97318 Kitzingen,Germany
AARTSELAAR,Belgium
ALBIAS,France
ALBIAS -82,France
ALPHABET NL (Breda),Netherlands
ANAIS,France
Ancona,Italy
Annan Ort,Sweden
Annan Ort ï¿½ 5 additional days for deliver,Sweden
Annan Ort ï¿½ï¿½ï¿½ 5 additional days for d,Sweden
Arctos Janki,Poland
Arctos Poznań,Poland
Arctos Raszyn,Poland
Arval SULOJA Schwalmtal,Germany
Ascoli Piceno,Italy
auktionsvej 8 Vers. 2,Denmark
AUNAY SOUS AUNEAU,France
AUNEAU -28,France
AUTO BRUOGNOLO SRL,Italy
AUTOCENTER  FERRARA SRL,Italy
AUTOCENTER ARESE,Italy
Autocom Mazowiecki,Poland
Autocom Mikołów,Poland
Autoflotas,Spain
Autoflotas Loeches,Spain
AUTOSERVICE CAVALLARO di Cavallaro Salvatore,Italy
AUTOVANTI MONZA,Italy
Bad Fallingbostel,Germany
Bad Salzungen,Germany
Bapaume,France
BARI,Italy
Bawaria Katowice,Poland
Bawaria Warszawa,Poland
BCA A Coru a,Spain
BCA A CORUÑA,Spain
BCA Alicante,Spain
BCA Azuqueca,Spain
BCA Bellvei,Spain
BCA Finland,Denmark
BCA La Luisiana,Spain
Bca lisboa,Portugal
BCA Lodi,Italy
BCA Madrid,Spain
BCA Online,Germany
BCA POLAND,Denmark
BCA POMBAL,Portugal
BCA Porto,Portugal
Bca sevilla,Spain
Bca tarragona,Spain
BCA Tarragona 2,Spain
BCAuto Encheres,France
BE100 Belcar Zuid,Belgium
BE110 Belcar Noord,Belgium
BE130 Belcar Wilrijk,Belgium
BE140 Belcar Oost,Belgium
BE500 VAB Genk,Belgium
Belcar Noord (North),Belgium
Belcar Oost,Belgium
Belcar Wilrijk,Belgium
Belcar Zuid,Belgium
BELIGNEUX,France
BENTIVOGLIO,Italy
Berge Cheste,Spain
Bergé Ciempozuelos,Spain
Berge La Roda,Spain
Berge Madrid,Spain
Berge Tarragona,Spain
Berlin,Germany
Bernezzo (CN),Italy
Bertani Castiglione delle Stiviere,Italy
BERTANI TRASPORTI CASSINO,Italy
BERTANI VERONA,Italy
Bitterfeld,Germany
BLAGNAC,France
BLAGNAC (31),France
BOBIGNY,France
Bochum,Germany
Bolgare,Italy
Bolgare (BG),Italy
Bologna,Italy
BORDEAUX,France
BORGO PRIOLO,Italy
Borgo san Lorenzo (FI),Italy
BOUCHAIN,France
BOURGTHEROULDE -27,France
Brackel,Germany
BRASIELLO CAR SERVICE SRL,Italy
BRESCIA,Italy
Bressana Bottarone (PV),Italy
Brindisi,Italy
Buch,Germany
Cagliari,Italy
CAGNES SUR MER,France
Campa Girona,Spain
CAMPA SANT BOI,Spain
CAPUA,Italy
Capua (CE),Italy
Caronno Pertusella (VA),Italy
CASEI,Italy
CASEI (PV),Italy
Casei Gerola (PV),Italy
Caserta,Italy
CASIER,Italy
CASIER (TV),Italy
Cassino (FR),Italy
Castelletto (PV),Italy
CASTELNAU D ESTRETEFONS,France
Castelnau d Estretefons (31),France
CASTELNAU D'ESTRETEFONDS,France
Castelnuovo Scrivia (AL),Italy
CASTIGLIONE,Italy
CASTIGLIONE DELLE STIVIERE,Italy
Castiglione delle Stiviere (MN),Italy
CAT Automobillogistik Essen GmbH,Germany
CAT Automobillogistik GmbH & Co. KG Düren,Germany
CAT Automobillogistik GmbH & Co. KG Emmering,Germany
CAT Automobillogistik GmbH & Co. KG Neuseddin,Germany
CAT Automobillogistik GmbH & Co. KG Osnabrück,Germany
CAT Germany GmbH Düren,Germany
CAT Germany GmbH Emmering,Germany
CAT Germany GmbH Seddiner See,Germany
CAT Vercelli,Italy
Catania,Italy
CAVALLINO CAR SERVICE SRL,Italy
CESTAS,France
CH 6246 Altishofen,Switzerland
CHASSIEU,France
CHILLY-MAZARIN,France
CHILLY-MAZARIN 2,France
Ciriè (TO),Italy
CIVITANOVA MARCHE,Italy
Civitanova Marche (MC),Italy
Civitavecchia (RM),Italy
CLERMONT FERRAND,France
COIGNIERES,France
COMPIEGNE,France
COMPIEGNE (60),France
CORBAS,France
CREMONA,Italy
Cuneo,Italy
Cuvilly,France
D.G. SERVICE SRL,Italy
DAGNEUX,France
DE CLEMENTI CAR SERVICE,Italy
Decimomannu (CA),Italy
Denmark,Denmark
Dorfmark,Germany
Düren,Germany
DVTA PARC2,France
Emmering,Germany
Escargo Aprilia,Italy
ESCARGO CARIMATE,Italy
ESCARGO SICILIA,Italy
EURO CAR S.R.L.,Italy
EVRY,France
EXPRESS SERVICE SAS,Italy
Extern,Germany
External Location,Denmark
FAGGIANO-TARANTO,Italy
FERRARA,Italy
FIRENZE,Italy
FIUMICINO,Italy
Fiumicino (RM),Italy
Fleury Mérogis (94),France
Fleury Mérogis -94,France
Fleury-Mérogis,France
FOS SUR MER,France
Frosinone,Italy
GARONS,France
GATTIERES,France
Genova,Italy
GHISLENGHIEN,Belgium
Gragnani Livorno,Italy
GRAND PRIX s.r.l.,Italy
GTT Pelt,Belgium
GUERLESQUIN,France
Heidenheim,Germany
Hertz Campa Málaga Aeropuerto,Spain
HEYRIEUX,France
HFP Madrid,Spain
HFP Valencia,Spain
Hoppegarten,Germany
HOUECOURT,France
Inchcape Wrocław,Poland
INGRANDES,France
ITALY,Italy
Kareby,Sweden
KARROZZERIA VERGONE S.R.L.,Italy
Ketzin,Germany
Kirchheim unter Teck,Germany
Köln,Germany
LA CHAPELLE SAINT LUC,France
LA CLINICA DELL'AUTO SRL,Italy
Lagermax,Austria
Lähden,Germany
Lallio (BG),Italy
LAMEZIA TERME,Italy
Lamezia Terme (CZ),Italy
LANCIANO,Italy
LAUTERBOURG,France
LAUTO,France
LE GRAND BOURGTHEROULDE,France
LE MEUX,France
LENS,France
LILLE,France
LIMOGES,France
LIMOGES -87,France
Lodi,Italy
Lokalizacja: nieznana (Location unknown),Poland
LOMME,France
LUCCA,Italy
LYON,France
LYON ST EXUPERY,France
LYON ST EXUPERY (69),France
MAGLIANA,Italy
Magliana (RM),Italy
MAGLIANA DUE,Italy
Malmï¿½,Sweden
Malmö S,Sweden
Malpensa (VA),Italy
Marcq-en-Baroeul,France
MARIGNANE,France
MARIGNANE (13),France
MARLY LA VILLE,France
MARLY LA VILLE (95),France
MARSEILLE,France
MASSY,France
MAUGUIO,France
MERIGNAC,France
Messina,Italy
Milano,Italy
Milano Linate,Italy
Milano Malpensa,Italy
MITRY,France
MITRY MORY,France
Moncalieri (TO),Italy
MONTPELLIER,France
Mosolf GmbH,Germany
MOTOR SERVICE SRL,Italy
Musestre (TV),Italy
NANTES,France
NANTEUIL LE HAUDOUIN,France
Napoli,Italy
Netto Biler Silkeborg,Denmark
Neuss,Germany
NICE,France
Niederaula,Germany
Nivette Fleet Management Sp. z o.o.,Denmark
NUOVA D'ASTA AUTOSERVICES SRL,Italy
Off Site,Belgium
OFF. DANILO ASSISTENZA AUTRONICA SRL,Italy
Offsite,France
OLTRE SRL,Italy
Op locatie Barneveld,Netherlands
Op locatie eigenaar,Netherlands
ORLY,France
P. AUTO SERVICE SRL,Italy
PALERMO,Italy
PARMA,Italy
Parque Cliente Lisboa,Portugal
Parque Cliente Porto,Portugal
Parque Cliente Setúbal,Portugal
PAVIA,Italy
PERUGIA,Italy
Pesaro,Italy
PIAZZALE BERTANI,Italy
PIEDIMONTE,Italy
Piedimonte (FR),Italy
Pisa,Italy
Pistoia,Italy
Polignano a Mare (BA),Italy
Pontecurone (AL),Italy
PORDENONE,Italy
PORTE LES VALENCE,France
Potenza,Italy
POZZUOLI,Italy
Pozzuoli (NA),Italy
PROGETTO SERVICE SRL,Italy
PRUNIERS EN SOLOGNE,France
QUINCIEUX,France
Rackwitz,Germany
RC TOP CAR S.R.L.,Italy
REGGIO EMILIA,Italy
Rent a Car Express,Spain
Riedstadt,Germany
Rimini,Italy
RIVALTA SCRIVIA,Italy
Rivalta Scrivia (AL),Italy
ROISSY,France
ROISSY CDG,France
Roma,Italy
ROMANS SUR ISERE,France
ROPPE,France
Rossano Veneto (VI),Italy
Rozzano,Italy
S. Maria di Sala,Italy
S. Maria di Sala (VE),Italy
SAINT AIGNAN GRANDLIEU,France
SAINT GEORGE D ESPERANCHE,France
SAINT GEORGES D ESPERANCHE,France
SAINT GEORGES D ESPERANCHE -38,France
SAINT VULBAS,France
SAINVILLE,France
SAN VITO DEI NORMANNI,Italy
SARRAS,France
SARRAS -07,France
SATAS Neuvy,France
SAUVAGNON,France
Schkopau,Germany
Schöneck,Germany
Segrate (MI),Italy
SERENISSIMA SERVICE SRL,Italy
Settimo Torinese (TO),Italy
Sevilla,Spain
Siena,Italy
Sikora Mikołów,Poland
Sintax Málaga,Spain
Sintax Valencia,Spain
SLC Suloja Lager Center GmbH,Germany
SPAIN,Spain
SPECIAL CAR GROUP S.P.A.,Italy
STILGOMMA IANNELLI,Italy
Stobart Automotive,Belgium
Stobart Genk,Belgium
Strängnäs,Sweden
STRASBOURG,France
Strï¿½ï¿½,Sweden
Strï¿½ngn,Sweden
TARANTO,Italy
Termini Imerese (PA),Italy
Torino,Italy
TOULOUSE,France
TRANSCAUSSE AUTOS PARC LOGISTICS,France
Trento,Italy
Trezzano sul Naviglio (MI),Italy
Überherrn,Germany
Umeå,Sweden
VAB GENK,Belgium
VALENCE,France
VALENCE -26,France
VARESE,Italy
VENDIN LES BETHUNE,France
Venezia,Italy
Vercelli (VC),Italy
Vermezzo (MI),Italy
VERONA,Italy
VITROLLES,France
Wegberg,Germany
Wiedemar,Germany
Wien,Germany
WISSOUS,France
Wolnzach,Germany
Wünsdorf,Germany
Zörbig,Germany
